Burundi,BDI,-2.113896847,-2.293344736,-2.015158892,#N/A,-2.288240433,-2.24452734,-2.523784637,-1.524741888,-1.42700541,-1.37533474,-1.638163805,-1.272694111,-1.625959396,-1.807200432,-1.70473814,-1.350277543,-0.784407139,-1.939510822,-1.970720768,0.221377477,6,5.714285851,2.857142925,8.571428299,-2.007539511,-1.597951055,#N/A
Belgium,BEL,1.288752794,1.024162054,1.130376697,#N/A,1.264332652,0.859670281,0.710141778,0.795810878,0.857654214,0.757429183,0.621243298,0.819908977,0.810646176,0.954535425,0.92359972,0.940082729,0.701269448,0.587094605,0.441367298,0.204956502,9,61.90476227,49.04761887,72.85713959,0.428070664,0.412356049,#N/A
Benin,BEN,1.048929691,0.741325498,0.798396707,#N/A,0.820294201,0.679063499,0.265106827,0.446815848,0.547010481,0.386122555,0.374591321,0.40329805,0.261260122,0.318356365,0.364367604,0.301189363,0.027139762,-0.013513958,-0.002027172,0.221377477,6,47.1428566,32.38095093,58.57143021,0.030852951,-0.132421002,#N/A
Burkina Faso,BFA,-0.301612794,-0.111127324,0.059249356,#N/A,-0.308865517,0.06687247,-0.082301155,-0.064855136,0.156172335,0.30769673,0.120162971,0.034941409,-0.117637143,-0.555381477,-0.573129237,-0.763390124,-0.787128568,-0.611107409,-0.867375851,0.211121112,7,16.66666603,10.95238113,25.23809433,-0.926845014,-1.040907264,#N/A
Bangladesh,BGD,-0.546178162,-0.368563563,-0.724509239,#N/A,-1.033550501,-1.115403295,-1.361260414,-1.863764167,-1.505493402,-1.540047765,-1.505937099,-1.544713378,-1.425789475,-1.404736876,-1.379088998,-1.627858877,-0.895563185,-1.212017894,-1.261936784,0.20779568,8,10.95238113,8.571428299,15.23809528,-1.255888343,-1.032479763,#N/A
Bulgaria,BGR,-0.090678282,0.576661706,0.379955381,#N/A,0.468395174,0.174155131,0.003550667,0.146509647,0.395517141,0.358280092,0.370631129,0.353603989,0.36009106,0.301750302,0.379833996,0.170710385,0.078540899,0.017322188,0.077333264,0.204956502,9,49.04761887,36.19047546,60.95238113,0.331952304,0.419638634,#N/A
Bahrain,BHR,-0.307727605,-0.161498114,0.055773951,#N/A,0.28414613,0.483239025,0.312665284,0.011602206,-0.366437256,-0.247196898,-0.237403244,-0.136449441,-0.493476391,-0.950841904,-1.129954934,-1.335417747,-0.907474875,-1.073540211,-0.793425679,0.21260111,7,19.52380943,10.95238113,28.09523773,-0.961425066,-0.840442419,#N/A
"Bahamas, The",BHS,1.070221186,1.086337447,1.280098081,#N/A,0.956500292,0.826999247,0.891071081,0.938636839,0.810648799,0.730004489,0.774838746,0.860551536,0.993692219,1.103621483,1.184026003,1.134824634,0.956470132,0.907476485,0.975418746,0.215112433,6,80.95237732,66.19047546,95.7142868,0.989367783,0.872116685,#N/A
Bosnia and Herzegovina,BIH,-0.592023313,-0.584123015,-0.526444674,#N/A,-0.162515759,-0.404707491,0.016085448,-0.501404464,-0.44200334,-0.630627513,-0.540368795,-0.666618288,-0.693730175,-0.819794893,-0.538148701,-0.404944122,-0.019179042,-0.402437001,-0.397838831,0.215967342,7,30.95238113,20,45.23809433,-0.348210633,-0.392324209,#N/A
Belarus,BLR,0.093630686,0.11032445,0.138671175,#N/A,0.302270532,0.693226874,0.161250234,0.357308894,0.146807671,0.340541124,0.51848948,0.488780081,-0.094990097,-0.087769009,0.06861522,0.005959166,0.179782152,0.110016517,0.142281473,0.211121112,7,50.95238113,37.61904907,62.38095093,-0.053510562,0.353531927,#N/A
