Country/Territory,Code,1996,1998,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Burkina Faso,BFA,-0.928940415,-0.706115127,-0.576567948,#N/A,-0.677747667,-0.557386935,-0.514618576,-0.578771651,-0.762336969,-0.753419638,-0.489797771,-0.585571945,-0.568846405,-0.55904597,-0.623988986,-0.660841942,-0.578829587,-0.619458139,-0.564168572,-0.57994318,-0.578342915,#N/A
Bangladesh,BGD,-0.687850118,-0.440470219,-0.580437005,#N/A,-0.688740909,-0.725445151,-0.819185138,-0.911300302,-0.824527144,-0.704503596,-0.732424378,-0.791247904,-0.735632539,-0.755214989,-0.804165363,-0.793824732,-0.765750408,-0.723618865,-0.678658962,-0.733450353,-0.748399317,#N/A
Bulgaria,BGR,-0.042584829,-0.201888442,0.002994847,#N/A,0.248750851,0.114252992,0.150523335,0.181857437,-0.057375778,-0.007542833,-0.047309104,0.166158289,0.114835203,0.110085554,0.141888097,0.157344475,0.0787379,0.208683118,0.295897067,0.260194153,0.271875739,#N/A
Bahrain,BHR,0.77663964,0.603047013,0.588942409,#N/A,0.552827895,0.481796503,0.546101987,0.396987498,0.395685196,0.408986092,0.386812687,0.480627418,0.456938028,0.520667136,0.549759269,0.58878696,0.565039575,0.559800923,0.327842772,0.193920776,0.17987743,#N/A
"Bahamas, The",BHS,1.373242021,1.319277406,1.295001388,#N/A,1.309837818,1.282934785,1.221894741,1.210941315,1.169822574,1.10899055,1.149585009,1.008501291,1.075746179,0.980085611,0.989576817,0.872554958,0.728960156,0.712745905,0.719533265,0.577062309,0.53914994,#N/A
Bosnia and Herzegovina,BIH,-1.192045927,-1.075309277,-0.837896109,#N/A,-0.960075378,-0.745192528,-0.62970221,-0.755505741,-0.616913199,-0.844384789,-0.597142041,-0.715436161,-0.74107039,-0.743248463,-0.457261205,-0.434701741,-0.451142341,-0.545266747,-0.393437356,-0.481831312,-0.61853981,#N/A
Belarus,BLR,-0.380564451,-0.601107001,-0.604995489,#N/A,-0.922620893,-0.924638212,-1.06912148,-1.083960295,-1.117118716,-1.112912774,-1.1141994,-1.129520655,-1.114167333,-1.077807307,-0.901626885,-0.896814287,-0.486170083,-0.458838433,-0.477920115,-0.337930113,-0.301030338,#N/A
Belize,BLZ,0.388550758,0.091324061,0.062883683,#N/A,0.058294665,-0.056936767,-0.257134527,-0.089135915,-0.333179981,-0.453381538,-0.513148785,-0.449096531,-0.430088371,-0.380969495,-0.324690014,-0.329106957,-0.657314658,-0.684197724,-0.675917864,-0.63649714,-0.593888402,#N/A
Bermuda,BMU,1.157665968,1.20505023,1.183574557,#N/A,1.154031157,1.151541233,1.17790544,1.027271986,1.027619243,0.997715175,1.021443725,1.021205425,1.005440235,0.995785773,1.008661389,1.014978647,0.952229023,1.007331967,1.328888297,1.386590958,1.387551308,#N/A
Bolivia,BOL,-0.174989536,-0.069633596,-0.35506168,#N/A,-0.30150497,-0.320804924,-0.587247849,-0.688737392,-0.716710329,-0.570681155,-0.624578178,-0.604518771,-0.502310693,-0.472497046,-0.368671596,-0.386593521,-0.5877074,-0.651991189,-0.567062736,-0.383169442,-0.322099388,#N/A
Brazil,BRA,-0.143133715,-0.080491096,0.09408024,#N/A,0.05597958,0.197510153,0.019532161,-0.096330546,-0.320332617,-0.214283273,-0.089577764,-0.094775394,-0.035341211,-0.116546594,-0.128173426,-0.092886731,-0.139355496,-0.184090003,-0.173778266,-0.291003823,-0.447437376,#N/A
Barbados,BRB,1.414037704,1.462049723,1.446284294,#N/A,1.423873901,1.410648108,1.205474734,1.295830488,1.449118614,1.327272892,1.572234511,1.48438859,1.411678314,1.470893621,1.462176323,1.357321978,1.204713941,1.025177002,1.082171559,0.842394054,0.426972657,#N/A
Brunei Darussalam,BRN,0.927289665,0.937815368,0.914678395,#N/A,0.894929528,0.745865285,0.243171856,0.600311995,0.873298883,0.924396574,0.888502538,0.918071687,0.901893735,0.897022545,0.84352529,0.869773328,1.086335182,1.059951544,1.084176898,1.144335389,1.252714276,#N/A
Bhutan,BTN,0.644922495,0.607554317,0.829471529,#N/A,0.784538567,0.489438802,0.020590335,0.324595094,0.236617506,0.295872599,0.282585412,0.494820297,0.584653556,0.632624924,0.5126127,0.400447756,0.256147236,0.406338006,0.500509799,0.571287632,0.358897328,#N/A
South Sudan,SSD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.882390857,-1.584736586,-1.679246902,-2.068171263,-2.163074255,-2.353382111,-2.483661175,-2.449409246,#N/A
Botswana,BWA,0.556376994,0.521572351,0.525810182,#N/A,0.606588066,0.725895762,0.610082507,0.649579465,0.507834554,0.601054907,0.56733191,0.472523302,0.447351903,0.460583478,0.482212812,0.414167732,0.352403283,0.501940489,0.529832244,0.436973304,0.333441079,#N/A
Central African Republic,CAF,-1.406051278,-1.251532555,-1.324442863,#N/A,-1.538998246,-1.460072637,-1.531202912,-1.564508796,-1.50442493,-1.537028313,-1.374411225,-1.412179947,-1.387743354,-1.282365799,-1.448529005,-1.609882593,-1.848332644,-1.784649968,-1.771703601,-1.765036345,-1.720416784,#N/A
