Date,GPR_TURKEY,GPR_MEXICO,GPR_KOREA,GPR_RUSSIA,GPR_INDIA,GPR_BRAZIL,GPR_CHINA,GPR_INDONESIA,GPR_SAUDI_ARABIA,GPR_SOUTH_AFRICA,GPR_ARGENTINA,GPR_COLOMBIA,GPR_VENEZUELA,GPR_THAILAND,GPR_UKRAINE,GPR_ISRAEL,GPR_MALAYSIA,GPR_PHILIPPINES
1/1/1985,74.3986026,71.83464492,50.01093883,107.2730264,64.70352705,136.3917647,75.86162899,44.39057278,44.93245574,106.4802311,116.967718,75.83892466,52.71791718,112.4338879,95.71637845,74.05659831,24.55224298,77.71687047
2/1/1985,64.27311495,66.90466388,105.8253277,68.84535435,59.32235125,114.6775047,67.38963433,69.08908696,65.59583816,124.3852802,170.897506,64.98528918,89.3216532,99.36865372,104.4178674,71.94672372,79.00278186,111.0659374
3/1/1985,111.3751536,87.12564664,98.2357727,97.09305681,90.75378212,165.4926864,81.76402155,55.3242114,50.96655051,140.2655434,211.2541958,78.47338842,80.63760359,97.09608586,143.5745677,65.43210411,62.8978809,108.2768663
4/1/1985,123.1985453,86.83983818,77.02932018,91.82626471,60.03300283,136.5723562,71.42621394,59.25348777,63.2863683,209.3522449,187.0333524,65.91764627,70.69598123,87.73687151,53.84046288,73.31176776,99.96270358,68.07585718
5/1/1985,52.54138602,91.34837947,88.94980414,114.1407251,131.6936427,132.0462429,56.53055995,60.16507989,48.39545811,146.5935597,139.1512507,75.77449057,82.42955033,90.64206593,99.87796013,60.87120636,77.74876945,100.4291968
6/1/1985,58.32996522,76.50196808,99.32728129,88.86670739,132.1976302,115.619232,81.01161646,38.04906238,40.4324938,183.35687,98.22979737,61.28397953,31.12328559,62.78418328,95.71637845,110.5792318,44.42786826,90.66287569
7/1/1985,64.50307243,94.46461182,109.1616656,77.48498445,123.8599916,114.7025544,77.73150206,91.29037629,75.85264195,214.3353355,142.0220896,37.25420861,61.43817416,93.99149479,30.22622478,90.32827215,50.43163424,74.40167529
8/1/1985,54.79080121,74.30309017,71.76526082,99.23883336,115.5208506,85.95893182,60.58523041,60.77280797,33.17739914,212.2508789,159.0300008,91.92596929,45.08769233,94.43108086,123.0639152,57.63312143,61.22715594,95.29278609
9/1/1985,39.68631006,71.65351244,105.7771047,56.90721114,111.3585949,159.7530557,59.53014068,68.48831229,53.66932213,216.7004302,156.371218,77.2178142,56.86839261,113.8546211,110.4419751,53.54090941,60.84686305,94.05273982
10/1/1985,96.75460864,85.81585969,112.6982615,128.0412251,97.86550968,98.4521252,91.07120273,35.61569211,84.92727898,240.1621911,219.6128582,49.6946329,34.40537753,104.6580863,170.1624506,91.00014262,102.6283757,128.8647212
11/1/1985,61.9988355,90.16491338,47.53084626,105.8061091,81.06905708,92.33652999,72.28846683,50.48817893,73.79531793,196.5841959,190.2649228,77.2178142,41.49771413,83.64829308,154.6187652,62.08911806,64.79064121,131.0867118
12/1/1985,40.57736711,104.5610706,70.11337503,91.31258008,84.94662047,111.0124709,99.6135704,62.50917392,71.98003204,228.7640471,283.4775479,78.28534159,77.93164373,95.22461936,109.3901468,70.97007136,59.97762215,127.7485045
1/1/1986,77.63919509,94.33230844,56.55129883,94.25256845,87.57050356,120.8627345,64.4120383,55.3242114,61.19759809,249.8804546,200.6545659,101.4540625,62.32858248,44.4381557,54.6950734,85.89157629,53.01052463,145.6620132
2/1/1986,63.44910066,86.4518698,85.13766967,89.93739062,95.676864,138.4049273,62.33368885,84.68984853,65.03770071,149.8589803,152.6544148,53.08724726,54.61171037,61.52975405,44.17679006,58.82984677,83.55091642,215.5368866
3/1/1986,90.23647037,101.7223971,136.0647689,84.8273116,84.43150473,133.4596956,66.69250018,55.18827967,75.76845478,204.9052201,197.4763494,100.2828756,78.84565684,67.86918325,78.31340055,58.97814091,92.32666372,119.5168356
4/1/1986,108.4048872,94.44314538,105.321169,83.56660846,91.5245765,135.2618134,65.56020298,107.0300963,65.25059691,168.9176646,148.9249695,80.30652677,66.55802201,144.2032867,65.42638527,73.71237852,137.2037108,126.9331569
5/1/1986,93.38467258,111.5335851,90.55278647,86.91665425,113.6482109,132.8715319,63.78229358,73.39786873,63.95438387,262.9913955,180.6889375,98.46566912,81.27254535,110.7910183,94.09406696,76.15625879,94.75631277,128.5392539
6/1/1986,63.5182927,76.91971387,77.84015513,83.68320528,126.7379112,85.83005786,61.49705899,63.41510397,60.69410252,240.7097111,109.192805,60.0003286,31.46833311,101.0303369,71.78728384,69.48059161,74.63881867,141.3830084
7/1/1986,77.96779499,82.54639907,72.07002735,81.99973455,83.14775086,87.73739248,60.77035194,60.92666318,33.54332633,180.960007,121.2041813,92.76165992,34.68284025,107.7712752,112.3627051,56.35299202,60.13381387,126.1985546
8/1/1986,52.44262401,68.72661095,90.95028166,82.25678701,108.2006646,115.1553276,71.14149354,68.87584904,58.1793492,153.3932665,135.885456,57.78203784,29.25627341,60.48526748,85.36866187,45.78213778,55.24254671,103.9704001
9/1/1986,102.2436936,66.19757194,123.4879713,69.6018967,77.59179515,115.6253494,72.96785558,78.95895653,53.29918888,174.3124965,143.4997273,59.70449552,39.09701992,67.25774917,79.21355458,60.71116821,66.64180239,100.1149627
10/1/1986,32.63096605,94.42210122,91.47349625,77.68696551,100.2227354,82.25380545,88.64977416,38.72249712,43.91126356,159.4716901,186.0979105,96.52226775,42.16345286,117.2875913,117.4701008,53.08619594,34.55500864,119.1927133
