,MSCI Emerging Markets Gross Index USD,MSCI Emerging Markets Gross Index USD_ncskew,MSCI China Gross Index USD_ncskew
1/1/2000,0.02099157672483372,0.02099157672483372,0.40703202113497144
2/1/2000,0.6918625058250836,0.6918625058250836,-0.3650893123121412
3/1/2000,1.382138413857398,1.382138413857398,0.6151461297554883
4/1/2000,3.315684251854785,3.315684251854785,-2.1539993242216777
5/1/2000,1.003689729575831,1.003689729575831,-0.3774512640361314
6/1/2000,-0.17031506139067235,-0.17031506139067235,-0.7389511644009683
7/1/2000,0.46290256645947797,0.46290256645947797,0.10926888185206243
8/1/2000,1.1122287379903733,1.1122287379903733,0.962424675036426
9/1/2000,0.9893885327756009,0.9893885327756009,0.005253630129187056
10/1/2000,1.0166070666293014,1.0166070666293014,-0.13473909914067195
11/1/2000,1.3656082924332529,1.3656082924332529,0.8494965579601121
12/1/2001,-0.8858196393068569,-0.8858196393068569,-1.09239836907542
1/1/2001,-2.2465850712995343,-2.2465850712995343,-0.12261104237522316
2/1/2001,0.24633753739785483,0.24633753739785483,0.3999535283588777
3/1/2001,2.159111744341368,2.159111744341368,1.4396415132471
4/1/2001,0.48275709835788233,0.48275709835788233,0.18254667434780628
5/1/2001,-1.0208540908695651,-1.0208540908695651,-0.9877764964071144
6/1/2001,0.4434645189935956,0.4434645189935956,-0.0719880403249696
7/1/2001,1.4077991557773994,1.4077991557773994,1.4034847153880787
8/1/2001,-0.9054115470339504,-0.9054115470339504,1.6755615017044236
9/1/2001,1.1375326884964174,1.1375326884964174,0.9545973284028337
10/1/2001,-0.8093578528136124,-0.8093578528136124,-0.3065882331460216
11/1/2001,-0.5200795752821504,-0.5200795752821504,-0.2100859692262101
12/1/2002,-1.5476866040801158,-1.5476866040801158,0.8668724468406354
1/1/2002,-0.7470293353389864,-0.7470293353389864,0.13095843296235646
2/1/2002,-0.6974455850462755,-0.6974455850462755,0.030979949121098294
3/1/2002,0.21219404129789035,0.21219404129789035,0.26129040348616767
4/1/2002,-0.5793312160289072,-0.5793312160289072,-1.2727025729198957
5/1/2002,0.2822306127761472,0.2822306127761472,-0.5912808497088676
6/1/2002,1.7679374849497642,1.7679374849497642,0.6709868079300213
7/1/2002,0.6446057075483447,0.6446057075483447,-0.4417047669743278
8/1/2002,-0.12218629993297365,-0.12218629993297365,0.3805335555097286
9/1/2002,-0.34418038586652033,-0.34418038586652033,-0.5456686331909104
10/1/2002,0.77263514288684,0.77263514288684,-0.18622024353265396
11/1/2002,-0.28491927997867117,-0.28491927997867117,0.02411441056991193
12/1/2003,0.22815963077145354,0.22815963077145354,0.41708696720807414
1/1/2003,-0.5527435489600921,-0.5527435489600921,-1.5415582284194713
2/1/2003,-0.616035035616628,-0.616035035616628,0.13532587835917426
3/1/2003,2.162392911496104,2.162392911496104,0.846776291292025
4/1/2003,0.41738090072847805,0.41738090072847805,1.4722663912600125
5/1/2003,0.11389105867581692,0.11389105867581692,-1.4496816607023737
6/1/2003,-0.9119568748721189,-0.9119568748721189,-1.3578729165602386
7/1/2003,-1.5070738172321774,-1.5070738172321774,-0.499095886103775
8/1/2003,-1.614965040248906,-1.614965040248906,-0.6897175850084061
9/1/2003,-0.5202783853135692,-0.5202783853135692,0.18812504573559746
10/1/2003,-0.079579695806997,-0.079579695806997,0.9734333966678432
11/1/2003,0.7389052724257972,0.7389052724257972,-0.32890904830016143
12/1/2004,-0.26843583017227535,-0.26843583017227535,-0.9599477143103052
1/1/2004,-0.5054020583760017,-0.5054020583760017,-0.40593503803570063
2/1/2004,-1.8389330009007503,-1.8389330009007503,-0.658641987214136
3/1/2004,0.5897290522811337,0.5897290522811337,0.9808868377470801
4/1/2004,1.8546088039162307,1.8546088039162307,1.4253449901395543
5/1/2004,0.3461607733966282,0.3461607733966282,0.03781886010598702
6/1/2004,0.427399473843684,0.427399473843684,0.5321357687186105
7/1/2004,-0.06536528522982277,-0.06536528522982277,-0.3402001648051702
8/1/2004,-1.3819140836130372,-1.3819140836130372,-0.18931971837465522
9/1/2004,-1.5408073242007416,-1.5408073242007416,-1.1829205007238992
10/1/2004,-0.7936335409692916,-0.7936335409692916,-0.03268526272003252
11/1/2004,-0.5767431870925444,-0.5767431870925444,-0.517266799706013
12/1/2005,0.37105715518682403,0.37105715518682403,1.461265710494334
1/1/2005,0.25747967055563276,0.25747967055563276,0.5159482911893513
2/1/2005,-1.5916691409977715,-1.5916691409977715,-0.8512345376757692
3/1/2005,1.0990429750096702,1.0990429750096702,1.3165005840538948
4/1/2005,-0.12829017613986837,-0.12829017613986837,1.221342762496003
5/1/2005,-0.7997860330315657,-0.7997860330315657,1.1117761877852126
6/1/2005,-1.0721188865581002,-1.0721188865581002,-0.790670497500786
7/1/2005,-0.5855231051779655,-0.5855231051779655,-0.39994478889754415
8/1/2005,0.3003189886720036,0.3003189886720036,0.18378727392487268
9/1/2005,-1.3422062549205311,-1.3422062549205311,-2.71259166487381
10/1/2005,1.1783933001311557,1.1783933001311557,1.3497614438899206
11/1/2005,-0.9709242997111927,-0.9709242997111927,-0.6928595757580837
12/1/2006,-1.0779917142113913,-1.0779917142113913,-1.442543789256889
1/1/2006,-1.3918705514581617,-1.3918705514581617,-1.2802577898275544
2/1/2006,-0.13027199546644827,-0.13027199546644827,-0.5881702198260403
3/1/2006,1.7581479757645424,1.7581479757645424,0.5918338134657674
4/1/2006,-0.9971235098638037,-0.9971235098638037,-0.3133326763653295
5/1/2006,2.047011748454218,2.047011748454218,0.948834146246911
6/1/2006,0.5496957881843074,0.5496957881843074,-0.1699662809740678
