Date,MSCI China Gross Index USD
1/23/2000,0.012580241825617785
1/30/2000,0.009312581405472503
2/6/2000,-0.04240438668940095
2/13/2000,-0.1006971194430503
2/20/2000,0.07571720995038636
2/27/2000,-0.09444416391552736
3/5/2000,-0.05272185034013147
3/12/2000,0.03834659484392429
3/19/2000,-0.05291645850900896
3/26/2000,-0.025758332545182033
4/2/2000,0.008813857569301186
4/9/2000,0.008804454275337657
4/16/2000,0.11327357757189485
4/23/2000,0.09091128696972518
4/30/2000,-0.015672908869231585
5/7/2000,0.034382572162919844
5/14/2000,0.036803655693730244
5/21/2000,0.042110564043110546
5/28/2000,-0.0820946029164018
6/4/2000,0.0006882509210261481
6/11/2000,0.007637390116671422
6/18/2000,0.0011054690878237014
6/25/2000,0.00032980639364704024
7/2/2000,0.0011129787569302333
7/9/2000,0.04013984761606421
7/16/2000,0.000960535080078408
7/23/2000,0.017860986133477263
7/30/2000,-0.035056278470971244
8/6/2000,0.039094082276181975
8/13/2000,-0.05146089708218253
8/20/2000,0.041016108457660364
8/27/2000,-0.07357356985218536
9/3/2000,-0.01602827320895669
9/10/2000,0.009763052127894715
9/17/2000,-0.03348565379399802
9/24/2000,-0.12286204469579731
10/1/2000,0.026172088025311447
10/8/2000,0.08182710520903963
10/15/2000,-0.05895184657387373
10/22/2000,0.011206745477100771
10/29/2000,0.0046232862728722195
11/5/2000,-0.0005095916973979866
11/12/2000,0.0005892292901168673
11/19/2000,0.03407079389720143
11/26/2000,-0.12413657748351245
12/3/2000,0.035674924459383237
12/10/2000,-0.015769303097461544
12/17/2000,0.010060731652882966
12/24/2000,-0.0654183207965783
12/31/2000,0.01161627669531367
1/7/2001,0.027746683696286054
1/14/2001,0.005605243802645415
1/21/2001,0.02827985465722705
1/28/2001,-0.0052415735318921495
2/4/2001,0.005746777725098656
2/11/2001,0.03599215255249568
2/18/2001,0.0027455309672957586
2/25/2001,0.01752273434389835
3/4/2001,-0.10539790716591577
3/11/2001,-0.008749300948773828
3/18/2001,0.05913233601769395
3/25/2001,-0.07374717645507961
4/1/2001,-0.014160088091521571
4/8/2001,-0.04731406483775171
4/15/2001,0.07441525860085937
4/22/2001,-0.0101467828536219
4/29/2001,0.004219806976499775
5/6/2001,0.018195139396998006
5/13/2001,0.004909545042473124
5/20/2001,0.008186141390419918
5/27/2001,0.03977036229831633
6/3/2001,-0.04406068885654478
6/10/2001,0.06279925996735174
6/17/2001,-0.021417197364327543
6/24/2001,0.04618558633057386
7/1/2001,-0.02065327441448248
7/8/2001,0.026582326976265905
7/15/2001,-0.020220781358501652
7/22/2001,-0.06737820349664446
7/29/2001,0.004108591948219633
8/5/2001,-0.02955914982527106
8/12/2001,-0.020508423108916787
8/19/2001,-0.0356924898073018
8/26/2001,-0.105588031809343
9/2/2001,0.02914738277306863
9/9/2001,-0.01116281433512285
9/16/2001,-0.002329155124203888
9/23/2001,0.11618500224114894
9/30/2001,-0.02912067380467346
10/7/2001,0.0060164854578544915
10/14/2001,0.006629173613462684
10/21/2001,-0.0339092423070777
10/28/2001,0.07445362872603412
11/4/2001,0.014573439739889435
11/11/2001,-0.023813182494355222
11/18/2001,0.06572406283604074
11/25/2001,-0.007005651041114634
12/2/2001,0.005747254222469366
12/9/2001,0.02187740805776417
12/16/2001,-0.010861136885398151
12/23/2001,0.011886791887149643
12/30/2001,0.001241451577377839
1/6/2002,0.004105994493589556
1/13/2002,-0.07919674466680887
1/20/2002,-0.011479336720813273
1/27/2002,-0.04019015296041934
2/3/2002,0.016684051438039863
2/10/2002,-0.004495499777359634
2/17/2002,0.023866848015614645
2/24/2002,-0.017188816936126457
3/3/2002,-0.022258839089349728
3/10/2002,0.037201772104448326
3/17/2002,-0.011307478618198422
3/24/2002,-0.02247683120703641
3/31/2002,0.009768428656932305
4/7/2002,0.009612672979882273
4/14/2002,-0.002843400142766208
4/21/2002,0.014772097407869101
4/28/2002,0.045549175036388403
5/5/2002,0.03572197562895138
5/12/2002,-0.003701553101087657
5/19/2002,0.015699746489587503
5/26/2002,-0.021251006394102597
6/2/2002,-0.015724531272375577
6/9/2002,0.023082666961194362
6/16/2002,0.01618449602541982
6/23/2002,0.011196509195147218
6/30/2002,-0.02377868647570006
7/7/2002,0.013051612948109453
7/14/2002,0.040877001436461426
7/21/2002,0.003452777176667845
7/28/2002,-0.04451373578338659
8/4/2002,0.0512331481608822
8/11/2002,-0.05562315352522381
8/18/2002,0.007091200566165294
8/25/2002,-0.007129054247104811
9/1/2002,0.006511259184874401
9/8/2002,-0.005952816435322928
9/15/2002,0.008726920937803
9/22/2002,0.02124860840260007
9/29/2002,-0.005504191356335919
10/6/2002,0.02107287966968991
10/13/2002,-0.06789311066922314
10/20/2002,0.03383100176491689
10/27/2002,0.008365122540616126
11/3/2002,-0.0734916190611312
11/10/2002,0.016999909811028748
11/17/2002,-0.007520029482271585
11/24/2002,-0.025592335622074133
12/1/2002,-0.017878105653555847
12/8/2002,0.022597765199089688
12/15/2002,-0.005536504925911833
12/22/2002,0.01975274950204079
12/29/2002,0.007654155266602478
1/5/2003,0.000702388612845341
1/12/2003,0.03575537950447194
1/19/2003,-0.013450893176865061
1/26/2003,0.030975063068536847
2/2/2003,-0.0005044654602980411
2/9/2003,0.03908730021987846
2/16/2003,-0.015686258418223006
2/23/2003,-0.019989092978569215
3/2/2003,-0.017283206965947207
3/9/2003,-0.046191957343977685
3/16/2003,0.005500014670186828
3/23/2003,0.012793545977468644
3/30/2003,-0.005501567876754183
4/6/2003,-0.020477407030927305
