Country/Territory,CodeName,1996,1998,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Burkina Faso,BFA,-0.533439755,-0.396195322,-0.230154827,#N/A,-0.387816608,-0.30972442,-0.433708847,-0.44652009,-0.34183386,-0.307009161,-0.283480763,-0.289742321,-0.252950281,-0.280185461,-0.304970831,-0.255426049,-0.351851881,-0.114344187,0.013356481,0.064641006,-0.043225072,#N/A
Bangladesh,BGD,-0.058428358,-0.085569881,-0.227924496,#N/A,-0.432220519,-0.551806808,-0.672145784,-0.569969237,-0.451236516,-0.573499918,-0.442116976,-0.289077908,-0.268095285,-0.31506893,-0.401940703,-0.405386418,-0.473929763,-0.512046814,-0.585298061,-0.616458356,-0.728413701,#N/A
Bulgaria,BGR,0.428986371,0.437017411,0.46049872,#N/A,0.528531313,0.545892,0.569690168,0.59489274,0.577117205,0.690935373,0.577976346,0.560484111,0.531485736,0.450080156,0.400915593,0.337270766,0.366463035,0.43257308,0.401108503,0.378774077,0.323382109,#N/A
Bahrain,BHR,-0.718783438,-1.065402746,-1.056879878,#N/A,-0.571163654,-0.590705574,-0.561549425,-0.743174851,-0.903966546,-0.856526554,-0.868917465,-0.791000724,-0.965910077,-1.217316866,-1.318024635,-1.317464471,-1.311062574,-1.313066006,-1.372134328,-1.386841416,-1.405906916,#N/A
"Bahamas, The",BHS,1.10283947,1.157476664,1.202225447,#N/A,1.18893683,1.032271743,0.984539509,0.942519128,1.020233631,1.098432422,1.121914268,1.007146001,0.988209665,0.960108459,0.934573889,0.924448729,1.047353506,0.951474488,0.852094293,0.848639369,0.795634627,#N/A
Bosnia and Herzegovina,BIH,-0.103825636,-0.008210574,-0.10834337,#N/A,-0.087044545,0.209610566,0.168824628,0.213584766,0.187260151,0.131010443,0.01515203,0.003142807,-0.082464479,-0.159754992,-0.100325383,-0.116462924,-0.070975274,-0.098100908,-0.132196009,-0.207147911,-0.243590653,#N/A
Belarus,BLR,-0.819772601,-0.772695839,-1.312422276,#N/A,-1.451897144,-1.458550334,-1.597364068,-1.766817331,-1.753809452,-1.704454184,-1.593317866,-1.547588706,-1.555038214,-1.660208344,-1.567181349,-1.544428706,-1.442871571,-1.465078235,-1.33949399,-1.355587006,-1.350768924,#N/A
Belize,BLZ,0.824221611,0.881688356,0.975879788,#N/A,0.796831012,0.842791498,0.74007237,0.688429058,0.544680774,0.526492059,0.646870255,0.744926989,0.685301244,0.695515275,0.695277274,0.711436152,0.520088315,0.578133345,0.570770383,0.569845617,0.450753361,#N/A
Bermuda,BMU,1.180363297,1.166620493,0.939376175,#N/A,1.125523925,1.200390577,1.134971619,1.153230071,1.017273426,0.972128868,0.967198193,0.963812232,0.988284528,1.009051681,1.025671721,1.004767299,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bolivia,BOL,0.155518606,0.353770107,0.189972907,#N/A,0.140369892,-0.056417339,-0.170450285,-0.156710416,0.07646361,0.042223975,0.002961717,0.006946406,-0.039268941,-0.068237796,-0.081585295,-0.068993039,-0.02631977,-0.00466957,-0.036925524,-0.025651323,-0.042587254,#N/A
Brazil,BRA,0.242076978,0.332852572,0.301593602,#N/A,0.472238034,0.442828864,0.388609469,0.45767951,0.500075698,0.537074029,0.568985701,0.522006929,0.571348846,0.513676167,0.477906197,0.417426258,0.471927881,0.458851576,0.450566232,0.452668905,0.38856861,#N/A
